Program,POC,Status,PartName,PartLoc,Lat,Lon
"Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Accelerating the Deployment of Equitable, Grid-Friendly Electric Vehicle Charging Infrastructure",Jenny Heeter,In-Process,,"""Cook County, Illinois""",41.8197385,-87.756525
Communities Local Energy Action Program (Communities LEAP),Carishma Gokhale-Welch,In-Process,,"""Kern County, California""",35.3145701,-118.753822
Clean Energy to Communities (C2C) - Peer Learning Cohorts: Moving from Idea to Implementation: Starting on the Pathway to 100% Clean Energy,Jenny Heeter,In-Process,,"""Bucks County, Pennsylvania""",40.3451668,-75.1263909
"Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Accelerating the Deployment of Equitable, Grid-Friendly Electric Vehicle Charging Infrastructure",Jenny Heeter,In-Process,,"""Clark County, Nevada""",36.3467726,-115.0907378
Solar Energy Innovation Network (SEIN) - Peer Network,Alison Holm,2020,"""Clean Energy Economy for the Region: Basalt, Eagle, Vail, Avon, Gypsum, Minturn""","""Eagle County, Colorado""",39.6161124,-106.7172844
Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Unlocking Clean Energy for All: Financing Strategies for a more Equitable Energy Future,Jenny Heeter,In-Process,,"""Hawaii County, Hawaii""",19.6273325,-155.564561
National Community Solar Partnership (NCSP),Karlynn Cory,Active,"""OC Sunny""","""Orange County, California""",33.7500378,-117.8704931
Clean Energy to Communities (C2C) - Peer Learning Cohorts: Moving from Idea to Implementation: Starting on the Pathway to 100% Clean Energy,Jenny Heeter,In-Process,,"""Orange County, North Carolina""",36.0605095,-79.1172679
Solar Energy Innovation Network (SEIN) - Peer Network,Alison Holm,2020,"""Clean Energy Economy for the Region: Snowmass Village, Aspen""","""Pitkin County, Colorado""",39.2037774,-106.8695332
Communities Local Energy Action Program (Communities LEAP),Carishma Gokhale-Welch,In-Process,,"""Alachua County, Florida""",29.675568,-82.3640109
Communities Local Energy Action Program (Communities LEAP),Carishma Gokhale-Welch,In-Process,,"""Jackson County, Illinois""",37.7668943,-89.3563845
Clean Energy to Communities (C2C) - Peer-Learning Cohorts: Unlocking Clean Energy for All: Financing Strategies for a more Equitable Energy Future,Jenny Heeter,In-Process,,"""City And County Of Denver, Colorado""",39.7392364,-104.984862
Solar Energy Innovation Network (SEIN) - Peer Network,Alison Holm,2020,"""Clean Energy Economy for the Region: Parachute, Rifle, Silt, New Castle, Glenwood Springs, Carbondale""","""Garfield County, Colorado""",39.5462048,-107.8776144
Communities Local Energy Action Program (Communities LEAP),Carishma Gokhale-Welch,In-Process,,"""Hennepin County, Minnesota""",45.0257232,-93.4865052
